EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-1,41,SINGLE,FEMALE,7,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,0,94,1102,19479,5993,3,4,2,1,11,1,3,8,8,6,4,0,5,03-04-18,,,,,,
STAFF-2,49,MARRIED,MALE,6,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,8,3,61,279,24907,5130,2,2,3,4,23,3,4,1,10,10,7,1,7,08-08-18,,,,,,
STAFF-3,37,SINGLE,MALE,22,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,2,3,92,1373,2396,2090,2,3,4,2,15,3,3,6,7,0,0,0,0,08-04-20,,,,,,
STAFF-4,33,MARRIED,FEMALE,9,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,3,3,56,1392,23159,2909,3,3,4,3,11,3,3,1,8,8,7,3,0,03-11-18,,,,,,
STAFF-5,27,MARRIED,MALE,16,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,40,591,16632,3468,3,2,1,4,12,3,3,9,6,2,2,2,2,11-11-18,,,,,,
STAFF-6,32,SINGLE,MALE,7,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,2,2,79,1005,11864,3068,3,4,4,3,13,2,3,0,8,7,7,3,6,09-03-05,,,,,,
STAFF-7,59,MARRIED,FEMALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,3,81,1324,9964,2670,4,1,3,1,20,2,4,4,12,1,0,0,0,03-09-18,,,,,,
STAFF-8,30,DIVORCED,MALE,6,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,24,2,67,1358,13335,2693,3,3,4,2,22,3,4,1,1,1,0,0,0,01-10-13,,,,,,
STAFF-9,38,SINGLE,MALE,8,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,23,2,44,216,8787,9526,2,3,4,2,21,3,4,0,10,9,7,1,8,13-12-15,,,,,,
STAFF-10,36,MARRIED,MALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,27,3,94,1299,16577,5237,3,3,3,2,13,2,3,6,17,7,7,7,7,12-10-21,,,,,,
STAFF-11,35,MARRIED,MALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,5,84,809,16479,2426,4,2,1,3,13,3,3,0,6,5,4,0,3,12-12-99,,,,,,
STAFF-12,29,SINGLE,FEMALE,7,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,15,3,49,153,12682,4193,2,3,4,4,12,3,3,0,10,9,5,0,8,08-01-14,,,,,,
