EMP NO,TRAINING CODE
STAFF-2,19
STAFF-2,1
STAFF-2,7
STAFF-26,20
STAFF-26,7
STAFF-26,5
STAFF-28,14
STAFF-28,19
STAFF-29,18
STAFF-29,3
STAFF-29,5
STAFF-29,4
STAFF-30,20
STAFF-30,13
STAFF-31,9
STAFF-31,16
STAFF-31,8
STAFF-32,1
STAFF-32,13
STAFF-32,6
STAFF-32,3
STAFF-32,19
STAFF-33,11
STAFF-33,2
STAFF-33,18
STAFF-33,7
STAFF-33,2
STAFF-36,19
STAFF-36,9
STAFF-36,6
STAFF-38,9
STAFF-38,12
STAFF-38,17
STAFF-39,10
STAFF-39,16
STAFF-39,19
STAFF-40,13
STAFF-40,11
STAFF-40,15
STAFF-41,11
STAFF-41,17
STAFF-41,3
STAFF-42,4
STAFF-42,13
STAFF-42,20
STAFF-42,10
STAFF-42,9
STAFF-42,18
STAFF-45,2
STAFF-45,17
STAFF-47,10
STAFF-47,11
STAFF-48,19
STAFF-49,5
STAFF-49,7
STAFF-49,2
STAFF-49,10
STAFF-50,9
STAFF-50,5
STAFF-53,9
STAFF-53,8
STAFF-54,17
STAFF-54,8
STAFF-54,2
STAFF-55,6
STAFF-55,7
STAFF-56,12
STAFF-57,20
STAFF-57,17
STAFF-57,16
STAFF-58,20
STAFF-58,9
STAFF-58,13
STAFF-59,12
STAFF-59,8
STAFF-59,13
STAFF-60,15
STAFF-60,15
STAFF-61,16
STAFF-61,10
STAFF-61,5
STAFF-62,9
STAFF-62,11
STAFF-63,12
STAFF-63,11
STAFF-64,12
STAFF-64,15
STAFF-64,7
STAFF-65,13
STAFF-65,20
STAFF-66,18
STAFF-66,19
STAFF-67,5
STAFF-67,18
STAFF-67,19
STAFF-68,6
STAFF-68,13
STAFF-69,12
STAFF-69,20
STAFF-71,16
STAFF-71,6
STAFF-72,17
STAFF-72,8
STAFF-72,10
STAFF-73,16
STAFF-73,17
STAFF-73,4
STAFF-73,17
STAFF-74,9
STAFF-74,14
STAFF-74,4
STAFF-75,13
STAFF-75,6
STAFF-75,7
STAFF-76,2
STAFF-76,13
STAFF-77,3
STAFF-77,6
STAFF-78,4
STAFF-78,10
STAFF-78,6
STAFF-79,10
STAFF-79,4
STAFF-79,13
STAFF-80,15
STAFF-80,4
STAFF-81,15
STAFF-82,19
STAFF-82,11
STAFF-82,17
STAFF-83,10
STAFF-83,19
STAFF-83,10
STAFF-83,8
STAFF-84,6
STAFF-84,9
STAFF-84,8
STAFF-85,20
STAFF-85,13
STAFF-86,5
STAFF-86,2
STAFF-86,9
STAFF-87,19
STAFF-87,20
STAFF-87,20
STAFF-88,2
STAFF-88,16
STAFF-88,14
STAFF-88,19
STAFF-89,18
STAFF-89,2
STAFF-89,5
STAFF-91,8
STAFF-91,2
STAFF-91,2
STAFF-92,10
STAFF-92,9
STAFF-93,16
STAFF-93,6
STAFF-93,3
STAFF-93,4
STAFF-94,9
STAFF-94,20
STAFF-94,16
STAFF-94,19
STAFF-94,6
STAFF-96,16
STAFF-96,4
STAFF-96,15
STAFF-96,12
STAFF-96,16
STAFF-97,6
STAFF-97,5
STAFF-98,12
STAFF-98,12
STAFF-98,10
STAFF-99,11
STAFF-100,1
STAFF-100,1
STAFF-100,6
STAFF-102,13
STAFF-102,10
STAFF-104,8
STAFF-104,16
STAFF-104,2
STAFF-105,11
STAFF-105,20
STAFF-106,6
STAFF-106,12
STAFF-106,1
STAFF-107,5
STAFF-109,11
STAFF-109,1
STAFF-110,4
STAFF-110,1
STAFF-110,10
STAFF-110,5
STAFF-110,12
STAFF-111,19
STAFF-113,13
STAFF-113,8
STAFF-113,9
STAFF-114,2
STAFF-114,3
STAFF-115,12
STAFF-115,14
STAFF-115,2
STAFF-116,15
STAFF-116,19
STAFF-116,19
STAFF-117,14
STAFF-117,4
STAFF-117,16
STAFF-117,11
STAFF-117,5
STAFF-117,18
STAFF-118,8
STAFF-118,6
STAFF-118,9
STAFF-118,6
STAFF-118,17
STAFF-118,20
STAFF-119,12
STAFF-119,19
STAFF-120,1
STAFF-120,19
STAFF-120,13
STAFF-121,2
STAFF-121,7
STAFF-122,18
STAFF-122,4
STAFF-124,1
STAFF-124,3
STAFF-124,16
STAFF-124,8
STAFF-124,5
STAFF-126,15
STAFF-126,9
STAFF-126,11
STAFF-129,2
STAFF-129,14
STAFF-130,13
STAFF-130,4
STAFF-131,7
STAFF-131,1
STAFF-132,3
STAFF-132,4
STAFF-132,14
STAFF-134,9
STAFF-134,11
STAFF-135,20
STAFF-135,5
STAFF-135,13
STAFF-138,1
STAFF-139,4
STAFF-139,20
STAFF-139,13
STAFF-140,19
STAFF-140,4
STAFF-142,11
STAFF-142,4
STAFF-143,14
STAFF-143,20
STAFF-144,11
STAFF-144,13
STAFF-144,13
STAFF-144,18
STAFF-145,4
STAFF-145,7
STAFF-146,19
STAFF-146,20
STAFF-146,19
STAFF-147,5
STAFF-147,19
STAFF-147,12
STAFF-148,17
STAFF-148,1
STAFF-149,17
STAFF-149,1
STAFF-150,9
STAFF-150,19
STAFF-150,1
STAFF-151,16
STAFF-151,18
STAFF-152,20
STAFF-152,19
STAFF-152,15
STAFF-153,2
STAFF-153,19
STAFF-153,3
STAFF-154,3
STAFF-154,12
STAFF-155,8
STAFF-155,13
STAFF-156,2
STAFF-157,3
STAFF-157,14
STAFF-158,8
STAFF-158,4
STAFF-158,14
STAFF-159,14
STAFF-159,16
STAFF-160,15
